ss,ttfw,%win,% travelled,run time,nodes evaluated
1,0.20,0.49,0.78,403512,40357912
1,0.40,0.53,0.82,446094,45198536
1,0.60,0.60,0.85,534546,58200666
1,0.80,0.56,0.84,480179,47907405
1,1.00,0.82,0.95,470854,44666153
1,1.20,0.78,0.94,368572,38074516
1,1.40,0.78,0.93,366775,36463748
1,1.60,0.80,0.93,333262,36261019
1,1.80,0.84,0.95,292301,30993492
1,2.00,0.84,0.95,312417,31982321
10,0.20,0.76,0.95,627963,7949159
10,0.40,0.76,0.95,597803,7381449
10,0.60,0.76,0.95,584069,7565119
10,0.80,0.73,0.95,599206,7846249
10,1.00,0.73,0.95,601348,7846734
10,1.20,0.73,0.94,604295,7889449
10,1.40,0.73,0.94,609425,7869625
10,1.60,0.73,0.95,613993,8203276
10,1.80,0.73,0.95,622966,8130342
10,2.00,0.73,0.95,637848,8055816
2,0.20,0.73,0.91,500464,26816688
2,0.40,0.87,0.97,494805,27943531
2,0.60,0.91,0.99,227633,12379247
2,0.80,0.93,0.99,165929,8636664
2,1.00,0.91,0.98,175014,9262063
2,1.20,0.89,0.97,168006,9043687
2,1.40,0.91,0.98,159201,8677870
2,1.60,0.89,0.98,160303,10340149
2,1.80,0.84,0.96,209113,11820654
2,2.00,0.82,0.95,201595,11404416
20,0.20,0.11,0.43,352704,2463843
20,0.40,0.09,0.43,369734,2489417
20,0.60,0.09,0.43,354915,2480203
20,0.80,0.09,0.43,363273,2499075
20,1.00,0.09,0.43,352978,2517235
20,1.20,0.09,0.43,355301,2533743
20,1.40,0.09,0.43,357169,2533648
20,1.60,0.09,0.43,362994,2578335
20,1.80,0.09,0.43,362910,2564232
20,2.00,0.09,0.43,361963,2568186
3,0.20,0.84,0.97,504793,18466080
3,0.40,0.93,0.99,299356,10525004
3,0.60,0.93,0.99,172939,5942238
3,0.80,0.96,0.99,116408,3962687
3,1.00,0.98,1.00,112463,3918296
3,1.20,0.93,0.99,163286,5877623
3,1.40,0.93,0.99,162936,5954154
3,1.60,0.93,0.99,166576,6095535
3,1.80,0.93,0.99,169022,6096844
3,2.00,0.98,1.00,122965,4463126
4,0.20,0.96,0.99,448209,13430841
4,0.40,0.98,1.00,170920,4237800
4,0.60,0.98,1.00,116028,2775844
4,0.80,0.96,0.99,97368,2669750
4,1.00,0.96,0.99,108080,2972363
4,1.20,0.96,0.99,112062,2834733
4,1.40,1.00,1.00,88464,2288592
4,1.60,0.98,1.00,77222,2101629
4,1.80,0.98,1.00,73071,1913501
4,2.00,0.98,1.00,68879,1990043
5,0.20,0.93,0.99,434564,9071192
5,0.40,0.98,0.99,196305,4262876
5,0.60,0.98,0.99,140286,2916976
5,0.80,0.93,0.99,150813,3285611
5,1.00,0.93,0.99,150398,3279476
5,1.20,0.98,1.00,103435,2274541
5,1.40,0.98,1.00,90924,2191145
5,1.60,0.96,0.99,119854,2568193
5,1.80,0.98,1.00,108719,2532155
5,2.00,0.98,1.00,102386,2561634
6,0.20,0.96,0.99,420899,7528342
6,0.40,0.93,0.99,230258,4118981
6,0.60,0.96,0.99,217145,3525684
6,0.80,0.96,0.99,157082,2823592
6,1.00,0.96,0.99,162681,2895577
6,1.20,0.93,0.99,178652,3147118
6,1.40,0.96,0.99,180324,3218117
6,1.60,0.98,0.99,162346,2832500
6,1.80,0.93,0.99,183799,3053244
6,2.00,0.93,0.99,181550,3227875
7,0.20,0.89,0.98,584766,10310975
7,0.40,0.93,0.99,449956,8191890
7,0.60,0.93,0.99,418169,7584087
7,0.80,0.93,0.99,409107,7463975
7,1.00,0.93,1.00,380653,7085785
7,1.20,0.91,0.99,410766,7598948
7,1.40,0.93,1.00,396713,7619202
7,1.60,0.93,1.00,400728,7389366
7,1.80,0.91,1.00,383444,7161748
7,2.00,0.93,1.00,370591,7762425
8,0.20,0.89,0.98,603180,10809396
8,0.40,0.87,0.97,516899,9615868
8,0.60,0.87,0.98,481382,8466650
8,0.80,0.87,0.97,267186,3789836
8,1.00,0.87,0.97,276568,4053371
8,1.20,0.89,0.97,273116,4075265
8,1.40,0.87,0.97,447152,7673491
8,1.60,0.87,0.97,455511,8103581
8,1.80,0.89,0.97,466381,7848033
8,2.00,0.87,0.97,474174,8156172
9,0.20,0.87,0.96,618567,8972877
9,0.40,0.87,0.96,363629,4339059
9,0.60,0.87,0.96,353932,4328708
9,0.80,0.82,0.96,360301,4290517
9,1.00,0.87,0.96,384683,4631800
9,1.20,0.89,0.97,378008,4762731
9,1.40,0.89,0.96,356574,4306890
9,1.60,0.84,0.96,362457,4520309
9,1.80,0.87,0.97,359658,4591182
9,2.00,0.89,0.97,388278,5033812